state,district,city,property_type,beds,baths,size_sqft,furnishing,facing,age_years,price_inr,locality_key
Telangana,Jangaon,Jangaon,Independent House,5,4,2590,Unfurnished,North,1,10125000,Jangaon | Jangaon Town
Andhra Pradesh,Prakasam,Ongole,Independent House,2,1,1273,Semi-Furnished,East,4,4100000,Prakasam | Ongole Town
Telangana,Rangareddy,Hyderabad,Residential Plot,0,0,1503,Not Applicable,South-East,0,8675000,Rangareddy | Attapur
Telangana,Peddapalli,Peddapalli,Independent House,4,4,2367,Unfurnished,South,5,6225000,Peddapalli | Ramagundam
Telangana,Medak,Medak,Residential Plot,0,0,1998,Not Applicable,East,0,2350000,Medak | Narsapur
Telangana,Hanumakonda,Hanamkonda,Apartment,3,3,1917,Unfurnished,South,0,9175000,Hanumakonda | Naimnagar
Andhra Pradesh,Eluru,Eluru,Residential Plot,0,0,1998,Not Applicable,West,0,1850000,Eluru | Bhimadole
Telangana,Hyderabad,Hyderabad,Independent House,4,4,2020,Semi-Furnished,North-East,18,11925000,Hyderabad | Kachiguda
Andhra Pradesh,Prakasam,Ongole,Residential Plot,0,0,1503,Not Applicable,West,0,2075000,Prakasam | Ongole Town
Telangana,Medak,Medak,Independent House,4,4,2081,Furnished,East,4,5400000,Medak | Toopran
Telangana,Rajanna Sircilla,Sircilla,Independent House,3,3,1788,Semi-Furnished,North,1,3450000,Rajanna Sircilla | Boinpalli
Andhra Pradesh,Guntur,Guntur,Residential Plot,0,0,1800,Not Applicable,South-East,0,3550000,Guntur | Kothapet
Andhra Pradesh,Kakinada,Kakinada,Apartment,4,4,2096,Unfurnished,East,0,9550000,Kakinada | Rama Rao Peta
Andhra Pradesh,Kakinada,Kakinada,Apartment,2,2,1028,Unfurnished,North,5,5700000,Kakinada | Jagannaickpur
Andhra Pradesh,Eluru,Eluru,Independent House,2,1,1087,Unfurnished,North,19,2775000,Eluru | Eluru Town
Andhra Pradesh,Tirupati,Tirupati,Residential Plot,0,0,900,Not Applicable,North-East,0,2000000,Tirupati | Tiruchanur
Telangana,Khammam,Khammam,Independent House,2,2,1152,Semi-Furnished,North-East,30,2750000,Khammam | Madhira
Telangana,Narayanpet,Narayanpet,Apartment,3,2,1532,Unfurnished,North-East,4,1975000,Narayanpet | Damaragidda
Andhra Pradesh,Annamayya,Madanapalle,Independent House,2,3,1163,Unfurnished,West,3,2200000,Annamayya | Pileru
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Apartment,2,3,1088,Unfurnished,North,9,5800000,Sri Potti Sriramulu Nellore | Mini Bypass Road
Andhra Pradesh,NTR,Vijayawada,Apartment,3,4,1369,Unfurnished,North-East,4,10000000,NTR | Governorpet
Telangana,Sangareddy,Sangareddy,Apartment,2,1,1177,Unfurnished,South-East,0,4600000,Sangareddy | Jinnaram
Telangana,Hanumakonda,Hanamkonda,Apartment,3,3,1555,Unfurnished,North-East,11,7825000,Hanumakonda | Kazipet
Telangana,Medchal Malkajgiri,Hyderabad,Apartment,3,3,1508,Unfurnished,South,1,11975000,Medchal Malkajgiri | Kukatpally
Telangana,Rangareddy,Hyderabad,Residential Plot,0,0,2160,Not Applicable,North,0,21750000,Rangareddy | Kokapet
Telangana,Wanaparthy,Wanaparthy,Independent House,3,3,1458,Unfurnished,North-East,1,4850000,Wanaparthy | Wanaparthy Town
Telangana,Siddipet,Siddipet,Residential Plot,0,0,1620,Not Applicable,South,0,1725000,Siddipet | Husnabad
Telangana,Hyderabad,Hyderabad,Apartment,1,1,474,Furnished,East,1,5000000,Hyderabad | Tolichowki
Telangana,Yadadri Bhuvanagiri,Bhongir,Residential Plot,0,0,900,Not Applicable,North,0,1425000,Yadadri Bhuvanagiri | Choutuppal
Andhra Pradesh,Annamayya,Madanapalle,Independent House,3,3,1794,Unfurnished,South,6,2625000,Annamayya | Mulakalacheruvu
Andhra Pradesh,Anakapalli,Anakapalle,Villa,5,5,3236,Unfurnished,South,21,9675000,Anakapalli | Yelamanchili
Telangana,Jangaon,Jangaon,Apartment,3,4,1710,Unfurnished,North-East,0,2725000,Jangaon | Bachannapet
Andhra Pradesh,Kurnool,Kurnool,Apartment,3,3,1586,Unfurnished,East,0,4800000,Kurnool | Sunkesula Road
Andhra Pradesh,NTR,Vijayawada,Independent House,4,5,1929,Semi-Furnished,South-East,8,7625000,NTR | Bhavanipuram
Andhra Pradesh,Guntur,Guntur,Apartment,3,4,1487,Semi-Furnished,North-East,3,6500000,Guntur | Ponnur
Telangana,Rangareddy,Hyderabad,Apartment,4,5,2187,Furnished,West,12,22700000,Rangareddy | Gachibowli
Andhra Pradesh,Krishna,Machilipatnam,Apartment,2,1,1047,Unfurnished,East,2,3125000,Krishna | Unguturu
Telangana,Hyderabad,Hyderabad,Apartment,2,2,1119,Unfurnished,East,0,11300000,Hyderabad | Ameerpet
Telangana,Narayanpet,Narayanpet,Apartment,1,1,548,Furnished,North,0,850000,Narayanpet | Damaragidda
Telangana,Kamareddy,Kamareddy,Independent House,4,5,2060,Unfurnished,South-East,1,8250000,Kamareddy | Kamareddy Town
Telangana,Medchal Malkajgiri,Hyderabad,Apartment,2,2,968,Semi-Furnished,West,6,4675000,Medchal Malkajgiri | Medchal
Andhra Pradesh,Krishna,Machilipatnam,Independent House,4,5,2136,Unfurnished,East,2,7150000,Krishna | Pamarru
Andhra Pradesh,Nandyal,Nandyal,Apartment,1,1,548,Furnished,West,1,1950000,Nandyal | Nandyal Town
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Apartment,2,3,855,Unfurnished,South,0,4925000,Visakhapatnam | Madhurawada
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Independent House,2,2,921,Semi-Furnished,North-East,1,10050000,Visakhapatnam | Rushikonda
Andhra Pradesh,Guntur,Guntur,Residential Plot,0,0,1998,Not Applicable,North-East,0,5650000,Guntur | Arundelpet
Telangana,Karimnagar,Karimnagar,Independent House,3,3,1636,Unfurnished,East,9,5250000,Karimnagar | Huzurabad
Telangana,Yadadri Bhuvanagiri,Bhongir,Apartment,1,2,505,Unfurnished,North,17,1800000,Yadadri Bhuvanagiri | Yadagirigutta
Andhra Pradesh,Sri Sathya Sai,Puttaparthi,Residential Plot,0,0,1998,Not Applicable,East,0,2025000,Sri Sathya Sai | Penukonda
Telangana,Sangareddy,Hyderabad,Villa,3,2,2430,Semi-Furnished,North-East,6,27350000,Sangareddy | Tellapur
Andhra Pradesh,YSR Kadapa,Kadapa,Villa,3,3,2156,Unfurnished,South-East,1,8275000,YSR Kadapa | Marripadu
Andhra Pradesh,Guntur,Guntur,Independent House,2,2,1105,Semi-Furnished,North,30,3975000,Guntur | Auto Nagar
Telangana,Rangareddy,Hyderabad,Independent House,2,3,1194,Unfurnished,West,18,11575000,Rangareddy | Kondapur
Andhra Pradesh,Tirupati,Tirupati,Independent House,2,2,1331,Furnished,East,30,5925000,Tirupati | Tiruchanur
Andhra Pradesh,Sri Sathya Sai,Puttaparthi,Apartment,3,3,1741,Unfurnished,North,0,5100000,Sri Sathya Sai | Dharmavaram
Telangana,Nagarkurnool,Nagarkurnool,Residential Plot,0,0,1197,Not Applicable,East,0,1975000,Nagarkurnool | Nagarkurnool Town
Telangana,Vikarabad,Vikarabad,Independent House,5,5,2493,Semi-Furnished,North-East,12,8625000,Vikarabad | Tandur
Andhra Pradesh,Chittoor,Chittoor,Apartment,2,1,777,Unfurnished,North,1,1650000,Chittoor | Gangadhara Nellore
Telangana,Peddapalli,Peddapalli,Residential Plot,0,0,2997,Not Applicable,South,0,4250000,Peddapalli | Godavarikhani
Andhra Pradesh,Tirupati,Tirupati,Villa,5,5,2806,Semi-Furnished,West,5,14550000,Tirupati | Srikalahasti
Andhra Pradesh,Kakinada,Kakinada,Independent House,4,4,1939,Semi-Furnished,North,1,7225000,Kakinada | Peddapuram
Telangana,Hyderabad,Hyderabad,Apartment,4,4,2079,Unfurnished,North,0,18750000,Hyderabad | Begumpet
Andhra Pradesh,YSR Kadapa,Kadapa,Independent Builder Floor,2,2,966,Unfurnished,East,0,2400000,YSR Kadapa | Proddatur
Telangana,Hyderabad,Hyderabad,Residential Plot,0,0,1620,Not Applicable,South,0,7925000,Hyderabad | Mehdipatnam
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Amalapuram,Apartment,2,2,959,Unfurnished,West,1,1775000,Dr. B.R. Ambedkar Konaseema | Alamuru
Telangana,Jogulamba Gadwal,Gadwal,Independent House,4,4,1959,Unfurnished,North-East,3,2425000,Jogulamba Gadwal | Maldakal
Telangana,Warangal,Warangal,Apartment,2,2,880,Unfurnished,North,0,3600000,Warangal | Mattewada
Telangana,Khammam,Khammam,Independent House,4,4,1964,Unfurnished,South-East,19,4225000,Khammam | Thirumalayapalem
Andhra Pradesh,Kurnool,Kurnool,Independent House,5,5,2642,Unfurnished,East,2,8725000,Kurnool | Venkataramana Colony
Andhra Pradesh,East Godavari,Rajahmundry,Independent House,3,4,1912,Furnished,North,2,8775000,East Godavari | Kambala Cheruvu
Andhra Pradesh,Kakinada,Kakinada,Independent House,5,5,2715,Semi-Furnished,South,30,8325000,Kakinada | Pithapuram
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Residential Plot,0,0,1197,Not Applicable,North,0,6075000,Visakhapatnam | Lawsons Bay Colony
Telangana,Siddipet,Siddipet,Residential Plot,0,0,2160,Not Applicable,South,0,3225000,Siddipet | Gajwel
Andhra Pradesh,Bapatla,Bapatla,Villa,3,3,1690,Semi-Furnished,West,0,4525000,Bapatla | Addanki
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Apartment,2,3,937,Semi-Furnished,South-East,6,4400000,Sri Potti Sriramulu Nellore | Stonehousepeta
Telangana,Yadadri Bhuvanagiri,Bhongir,Villa,5,5,3066,Unfurnished,West,6,15400000,Yadadri Bhuvanagiri | Bhongir Town
Telangana,Hanumakonda,Hanamkonda,Residential Plot,0,0,2700,Not Applicable,North-East,0,3125000,Hanumakonda | Dharmasagar
Andhra Pradesh,Prakasam,Ongole,Independent House,3,2,1578,Unfurnished,North-East,0,4650000,Prakasam | Kothapatnam
Telangana,Yadadri Bhuvanagiri,Bhongir,Apartment,2,2,970,Unfurnished,West,0,3900000,Yadadri Bhuvanagiri | Yadagirigutta
Telangana,Rangareddy,Hyderabad,Villa,4,4,2969,Semi-Furnished,East,3,23125000,Rangareddy | Tukkuguda
Andhra Pradesh,NTR,Vijayawada,Residential Plot,0,0,1800,Not Applicable,South,0,4075000,NTR | Bhavanipuram
Andhra Pradesh,Anantapur,Anantapur,Apartment,3,4,1786,Unfurnished,South,2,2975000,Anantapur | Gooty
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Apartment,2,1,1233,Unfurnished,North-East,0,13400000,Visakhapatnam | Siripuram
Andhra Pradesh,Chittoor,Chittoor,Independent Builder Floor,3,3,1201,Unfurnished,South,0,2000000,Chittoor | Somala
Andhra Pradesh,East Godavari,Rajahmundry,Apartment,2,2,934,Unfurnished,West,1,3675000,East Godavari | Danavaipeta
Andhra Pradesh,NTR,Vijayawada,Independent House,4,4,1976,Unfurnished,North-East,0,8050000,NTR | Ambapuram
Andhra Pradesh,Guntur,Guntur,Independent House,3,2,1276,Unfurnished,South,30,2850000,Guntur | Ponnur
Andhra Pradesh,Kakinada,Kakinada,Independent House,3,2,1608,Semi-Furnished,East,0,10900000,Kakinada | Suryaraopeta
Andhra Pradesh,Annamayya,Madanapalle,Residential Plot,0,0,1350,Not Applicable,East,0,1100000,Annamayya | Nandalur
Andhra Pradesh,Nandyal,Nandyal,Independent House,4,5,2308,Unfurnished,North-East,30,6150000,Nandyal | Nandyal Town
Telangana,Nagarkurnool,Nagarkurnool,Apartment,3,3,1303,Unfurnished,North,0,4000000,Nagarkurnool | Nagarkurnool Town
Andhra Pradesh,East Godavari,Rajahmundry,Apartment,2,2,1086,Unfurnished,South,12,5125000,East Godavari | Morampudi
Andhra Pradesh,Kakinada,Kakinada,Residential Plot,0,0,4500,Not Applicable,East,0,11725000,Kakinada | Ramanayapeta
Telangana,Vikarabad,Vikarabad,Independent House,4,4,2048,Unfurnished,West,0,5525000,Vikarabad | Parigi
Andhra Pradesh,Bapatla,Bapatla,Residential Plot,0,0,2997,Not Applicable,East,0,2300000,Bapatla | Martur
Andhra Pradesh,Anantapur,Anantapur,Apartment,1,1,411,Unfurnished,North,7,1500000,Anantapur | Tapovanam
Telangana,Rangareddy,Hyderabad,Independent House,2,2,991,Unfurnished,North,14,10875000,Rangareddy | Financial District
Telangana,Mahabubabad,Mahabubabad,Independent House,3,4,1451,Unfurnished,South,8,4025000,Mahabubabad | Mahabubabad Town
Andhra Pradesh,Chittoor,Chittoor,Apartment,1,1,513,Unfurnished,South-East,1,1225000,Chittoor | Nagari
Telangana,Nalgonda,Nalgonda,Villa,4,4,2801,Unfurnished,North-East,5,6950000,Nalgonda | Haliya
Andhra Pradesh,Vizianagaram,Vizianagaram,Apartment,3,2,1466,Unfurnished,North,0,3925000,Vizianagaram | Modavalasa
Telangana,Wanaparthy,Wanaparthy,Residential Plot,0,0,1197,Not Applicable,West,0,1550000,Wanaparthy | Wanaparthy Town
Andhra Pradesh,Krishna,Vijayawada,Independent House,5,5,2361,Unfurnished,South,4,9875000,Krishna | Gannavaram
Andhra Pradesh,NTR,Vijayawada,Apartment,4,4,2534,Unfurnished,South-East,0,13950000,NTR | Sri Ramachandra Nagar
Telangana,Rangareddy,Hyderabad,Villa,5,6,3188,Semi-Furnished,East,7,50800000,Rangareddy | Gachibowli
Andhra Pradesh,Anantapur,Anantapur,Apartment,2,2,1010,Furnished,North-East,1,2975000,Anantapur | Guntakal
Telangana,Peddapalli,Peddapalli,Apartment,2,2,1276,Unfurnished,West,0,4350000,Peddapalli | Godavarikhani
Telangana,Hyderabad,Hyderabad,Villa,4,5,3182,Unfurnished,South-East,5,40675000,Hyderabad | Yousufguda
Telangana,Siddipet,Siddipet,Independent House,4,5,1860,Furnished,North,1,11200000,Siddipet | Siddipet Town
Telangana,Hanumakonda,Hanamkonda,Independent House,3,4,1468,Unfurnished,East,4,7975000,Hanumakonda | Balasamudram
Telangana,Wanaparthy,Wanaparthy,Independent Builder Floor,2,2,1229,Unfurnished,South,1,2025000,Wanaparthy | Atmakur
Andhra Pradesh,Alluri Sitharama Raju,Paderu,Residential Plot,0,0,1503,Not Applicable,South-East,0,2275000,Alluri Sitharama Raju | Araku Valley
Andhra Pradesh,East Godavari,Rajahmundry,Apartment,2,2,1219,Unfurnished,North-East,0,6600000,East Godavari | Prakash Nagar
Telangana,Jagtial,Jagtial,Independent House,4,3,2069,Semi-Furnished,North,25,2800000,Jagtial | Dharmapuri
Telangana,Vikarabad,Vikarabad,Residential Plot,0,0,1998,Not Applicable,East,0,1400000,Vikarabad | Dharur
Andhra Pradesh,Kurnool,Kurnool,Apartment,4,5,2545,Semi-Furnished,South-East,4,6725000,Kurnool | Adoni
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Residential Plot,0,0,900,Not Applicable,East,0,1075000,Sri Potti Sriramulu Nellore | Kovur
Andhra Pradesh,Guntur,Guntur,Residential Plot,0,0,1620,Not Applicable,East,0,3250000,Guntur | Nallapadu
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Apartment,3,4,1537,Unfurnished,East,1,12750000,Visakhapatnam | Maddilapalem
Andhra Pradesh,Nandyal,Nandyal,Independent House,5,4,2648,Furnished,North-East,1,7900000,Nandyal | Dhone
Telangana,Rangareddy,Hyderabad,Residential Plot,0,0,2997,Not Applicable,West,0,24300000,Rangareddy | Narsingi
Andhra Pradesh,Vizianagaram,Vizianagaram,Villa,3,2,2255,Semi-Furnished,East,9,9575000,Vizianagaram | Modavalasa
Andhra Pradesh,Srikakulam,Srikakulam,Apartment,2,2,822,Unfurnished,North,1,2150000,Srikakulam | Ichchapuram
Telangana,Jayashankar Bhupalpally,Bhupalpally,Residential Plot,0,0,2403,Not Applicable,East,0,1575000,Jayashankar Bhupalpally | Mahadevpur
Telangana,Yadadri Bhuvanagiri,Bhongir,Apartment,2,1,1047,Unfurnished,North-East,0,2825000,Yadadri Bhuvanagiri | Pochampally
Telangana,Rangareddy,Hyderabad,Villa,4,4,3178,Unfurnished,North-East,0,58725000,Rangareddy | Gachibowli
Andhra Pradesh,Krishna,Machilipatnam,Independent House,6,6,2889,Unfurnished,East,9,10650000,Krishna | Machilipatnam Town
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Residential Plot,0,0,1998,Not Applicable,South,0,3725000,Sri Potti Sriramulu Nellore | Pogathota
Andhra Pradesh,Tirupati,Tirupati,Villa,5,5,3850,Semi-Furnished,North,1,23975000,Tirupati | Tummalagunta
Telangana,Nizamabad,Nizamabad,Independent Builder Floor,3,4,1397,Semi-Furnished,West,5,4050000,Nizamabad | Bodhan
Telangana,Rangareddy,Hyderabad,Villa,4,5,2346,Furnished,East,9,35475000,Rangareddy | Financial District
Telangana,Medchal Malkajgiri,Hyderabad,Independent House,4,4,2358,Unfurnished,West,3,19425000,Medchal Malkajgiri | Kukatpally
Telangana,Medchal Malkajgiri,Hyderabad,Residential Plot,0,0,1503,Not Applicable,North-East,0,7100000,Medchal Malkajgiri | Boduppal
Telangana,Hyderabad,Hyderabad,Independent House,3,2,1541,Semi-Furnished,North,9,14300000,Hyderabad | Begumpet
Andhra Pradesh,NTR,Vijayawada,Residential Plot,0,0,3600,Not Applicable,West,0,6800000,NTR | Gollapudi
Telangana,Bhadradri Kothagudem,Kothagudem,Independent House,2,1,1249,Unfurnished,North-East,1,5275000,Bhadradri Kothagudem | Bhadrachalam
Andhra Pradesh,Guntur,Amaravati,Apartment,4,5,2349,Unfurnished,North,1,12875000,Guntur | Tadepalle
Andhra Pradesh,Bapatla,Bapatla,Apartment,4,4,2006,Semi-Furnished,West,1,7375000,Bapatla | Chirala
Telangana,Nizamabad,Nizamabad,Apartment,4,4,2349,Unfurnished,West,0,4550000,Nizamabad | Yedapally
Telangana,Mancherial,Mancherial,Apartment,2,2,1098,Unfurnished,East,0,2150000,Mancherial | Chennur
Telangana,Rangareddy,Hyderabad,Apartment,3,3,1812,Furnished,West,0,18625000,Rangareddy | Narsingi
Andhra Pradesh,Alluri Sitharama Raju,Paderu,Apartment,2,1,1179,Unfurnished,South-East,0,3625000,Alluri Sitharama Raju | Araku Valley
Andhra Pradesh,NTR,Vijayawada,Apartment,3,4,1155,Semi-Furnished,West,8,5675000,NTR | Ajit Singh Nagar
Telangana,Rangareddy,Hyderabad,Apartment,1,1,530,Semi-Furnished,North,1,6075000,Rangareddy | Madhapur
Telangana,Rangareddy,Hyderabad,Apartment,3,4,1357,Furnished,North-East,9,16150000,Rangareddy | Gachibowli
Andhra Pradesh,Kurnool,Kurnool,Apartment,3,4,1417,Semi-Furnished,West,0,2675000,Kurnool | Alur
Telangana,Khammam,Khammam,Independent House,2,2,1182,Semi-Furnished,East,0,4700000,Khammam | Gandhi Chowk
Telangana,Hyderabad,Hyderabad,Residential Plot,0,0,1998,Not Applicable,North-East,0,15075000,Hyderabad | Yousufguda
Telangana,Yadadri Bhuvanagiri,Bhongir,Independent House,3,3,1849,Furnished,South,1,4000000,Yadadri Bhuvanagiri | Rajapet
Telangana,Nalgonda,Nalgonda,Independent House,4,4,2534,Unfurnished,South-East,6,4450000,Nalgonda | Chityal
Telangana,Rangareddy,Hyderabad,Apartment,3,3,1623,Unfurnished,North,0,22800000,Rangareddy | Madhapur
Andhra Pradesh,NTR,Vijayawada,Residential Plot,0,0,2700,Not Applicable,South,0,6550000,NTR | Bhavanipuram
Telangana,Rangareddy,Hyderabad,Apartment,2,2,1114,Semi-Furnished,East,6,7675000,Rangareddy | Hayathnagar
Telangana,Jagtial,Jagtial,Independent House,3,3,1299,Furnished,East,9,1925000,Jagtial | Dharmapuri
Telangana,Medchal Malkajgiri,Hyderabad,Independent House,4,4,1888,Unfurnished,North,29,8900000,Medchal Malkajgiri | ECIL
Telangana,Kamareddy,Kamareddy,Independent House,2,2,917,Furnished,East,5,3150000,Kamareddy | Kamareddy Town
Telangana,Jangaon,Jangaon,Independent House,2,2,1468,Unfurnished,South-East,8,4450000,Jangaon | Jangaon Town
Andhra Pradesh,Eluru,Eluru,Independent House,5,4,2563,Furnished,East,14,7250000,Eluru | Eluru Town
Telangana,Adilabad,Adilabad,Independent House,4,4,2234,Unfurnished,North,0,7175000,Adilabad | Adilabad Town
Telangana,Kumuram Bheem Asifabad,Asifabad,Residential Plot,0,0,900,Not Applicable,North-East,0,500000,Kumuram Bheem Asifabad | Rebbena
Andhra Pradesh,Guntur,Amaravati,Villa,5,6,3503,Unfurnished,East,8,22000000,Guntur | Tadikonda
Andhra Pradesh,Anantapur,Anantapur,Apartment,3,3,1807,Unfurnished,North-East,1,4375000,Anantapur | Tadipatri
Andhra Pradesh,NTR,Vijayawada,Apartment,3,2,1471,Semi-Furnished,East,1,10300000,NTR | Vidyadharapuram
Telangana,Medchal Malkajgiri,Hyderabad,Apartment,4,4,2155,Unfurnished,South-East,3,14875000,Medchal Malkajgiri | Kompally
Andhra Pradesh,Chittoor,Chittoor,Residential Plot,0,0,1503,Not Applicable,North-East,0,1075000,Chittoor | Somala
Andhra Pradesh,Markapuram,Markapuram,Residential Plot,0,0,1800,Not Applicable,East,0,1250000,Markapuram | Pamur
Telangana,Vikarabad,Vikarabad,Independent House,2,2,1291,Unfurnished,West,17,4025000,Vikarabad | Vikarabad Town
Andhra Pradesh,Parvathipuram Manyam,Parvathipuram,Independent House,4,4,2045,Furnished,South,0,3600000,Parvathipuram Manyam | Seethampeta
Andhra Pradesh,Bapatla,Bapatla,Residential Plot,0,0,4500,Not Applicable,South,0,3025000,Bapatla | Martur
Telangana,Warangal,Warangal,Independent House,6,6,2974,Furnished,East,0,13050000,Warangal | Khila Warangal
Telangana,Khammam,Khammam,Independent House,4,5,2107,Semi-Furnished,North,16,6925000,Khammam | Madhira
Andhra Pradesh,Nandyal,Nandyal,Independent House,5,5,2437,Semi-Furnished,West,1,4900000,Nandyal | Koilkuntla
Andhra Pradesh,Vizianagaram,Vizianagaram,Independent House,6,6,2936,Semi-Furnished,West,1,7775000,Vizianagaram | Nellimarla
Telangana,Sangareddy,Sangareddy,Apartment,3,3,1713,Semi-Furnished,South,3,4975000,Sangareddy | Narayankhed
Telangana,Wanaparthy,Wanaparthy,Independent House,2,2,1289,Unfurnished,South,1,3950000,Wanaparthy | Wanaparthy Town
Andhra Pradesh,NTR,Vijayawada,Independent House,2,2,966,Semi-Furnished,West,1,6175000,NTR | Vidyadharapuram
Telangana,Nizamabad,Nizamabad,Independent House,4,4,2075,Semi-Furnished,North,0,4150000,Nizamabad | Nandipet
Telangana,Hyderabad,Hyderabad,Apartment,4,4,2298,Unfurnished,North-East,0,22250000,Hyderabad | Nampally
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Independent House,3,3,1482,Unfurnished,West,17,11550000,Visakhapatnam | MVP Colony
Andhra Pradesh,Sri Sathya Sai,Puttaparthi,Apartment,3,3,1361,Unfurnished,North,1,2525000,Sri Sathya Sai | Lepakshi
Andhra Pradesh,East Godavari,Rajahmundry,Apartment,3,4,1107,Unfurnished,South,2,3900000,East Godavari | Lalacheruvu
Telangana,Jogulamba Gadwal,Gadwal,Independent House,3,3,1588,Semi-Furnished,South-East,2,2325000,Jogulamba Gadwal | Manopad
Telangana,Mahabubnagar,Mahabubnagar,Independent House,3,3,1879,Unfurnished,North-East,4,5975000,Mahabubnagar | Jadcherla
Telangana,Nagarkurnool,Nagarkurnool,Independent House,3,2,2228,Unfurnished,South,4,6925000,Nagarkurnool | Nagarkurnool Town
Telangana,Hanumakonda,Hanamkonda,Apartment,1,1,485,Unfurnished,East,0,2775000,Hanumakonda | Naimnagar
Andhra Pradesh,NTR,Vijayawada,Independent House,3,4,1901,Unfurnished,South-East,1,17325000,NTR | MG Road
Telangana,Mulugu,Mulugu,Independent House,2,2,1071,Unfurnished,South-East,8,2475000,Mulugu | Mulugu Town
Andhra Pradesh,Tirupati,Tirupati,Apartment,3,3,1582,Unfurnished,North,0,7475000,Tirupati | Korlagunta
Andhra Pradesh,Guntur,Guntur,Apartment,3,3,1410,Unfurnished,East,6,5550000,Guntur | Pedakakani
Andhra Pradesh,YSR Kadapa,Kadapa,Apartment,2,2,977,Semi-Furnished,South,0,2050000,YSR Kadapa | Vempalle
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,Apartment,2,1,1193,Semi-Furnished,North,11,4275000,Sri Potti Sriramulu Nellore | Kavali
Andhra Pradesh,Tirupati,Tirupati,Residential Plot,0,0,3600,Not Applicable,East,0,8900000,Tirupati | Korlagunta
Telangana,Rangareddy,Hyderabad,Apartment,3,3,1262,Unfurnished,North-East,2,13000000,Rangareddy | Manikonda
Telangana,Warangal,Warangal,Independent House,4,3,1964,Semi-Furnished,North,0,5050000,Warangal | Sangem
Andhra Pradesh,East Godavari,Rajahmundry,Independent House,4,4,2081,Semi-Furnished,South-East,22,6375000,East Godavari | Kambala Cheruvu
Telangana,Hyderabad,Hyderabad,Residential Plot,0,0,1197,Not Applicable,South,0,7400000,Hyderabad | Yousufguda
Andhra Pradesh,Anakapalli,Anakapalle,Residential Plot,0,0,4500,Not Applicable,East,0,6925000,Anakapalli | Narsipatnam
Andhra Pradesh,East Godavari,Rajahmundry,Independent House,3,3,1555,Semi-Furnished,North,6,7425000,East Godavari | Danavaipeta
Andhra Pradesh,Kurnool,Kurnool,Independent House,2,1,987,Unfurnished,North-East,9,1725000,Kurnool | Pattikonda
Andhra Pradesh,East Godavari,Rajahmundry,Independent House,6,6,2873,Unfurnished,East,0,15275000,East Godavari | Prakash Nagar
Telangana,Rangareddy,Hyderabad,Apartment,2,2,957,Unfurnished,North-East,0,6825000,Rangareddy | Shamshabad
Telangana,Hyderabad,Hyderabad,Residential Plot,0,0,2403,Not Applicable,North-East,0,17175000,Hyderabad | Secunderabad
Andhra Pradesh,Vizianagaram,Vizianagaram,Independent House,4,4,2120,Unfurnished,South-East,8,6750000,Vizianagaram | Bhogapuram
Telangana,Rangareddy,Hyderabad,Independent House,3,2,1658,Furnished,North-East,1,13900000,Rangareddy | Shamshabad
Telangana,Suryapet,Suryapet,Residential Plot,0,0,1620,Not Applicable,East,0,1025000,Suryapet | Mothey
Andhra Pradesh,NTR,Vijayawada,Residential Plot,0,0,900,Not Applicable,West,0,1575000,NTR | Nunna
Telangana,Sangareddy,Hyderabad,Apartment,2,3,977,Semi-Furnished,East,7,5975000,Sangareddy | Ameenpur
Andhra Pradesh,Alluri Sitharama Raju,Paderu,Apartment,2,2,979,Semi-Furnished,North,4,2225000,Alluri Sitharama Raju | Ananthagiri
Telangana,Nizamabad,Nizamabad,Apartment,3,4,1386,Semi-Furnished,North,4,2975000,Nizamabad | Nandipet
Andhra Pradesh,Prakasam,Ongole,Apartment,3,3,1455,Unfurnished,South,0,2350000,Prakasam | Santhanuthalapadu
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Residential Plot,0,0,2997,Not Applicable,North-East,0,7300000,Visakhapatnam | Pendurthi
Andhra Pradesh,Prakasam,Ongole,Apartment,3,3,1463,Semi-Furnished,North-East,1,3325000,Prakasam | Maddipadu
Andhra Pradesh,Prakasam,Ongole,Residential Plot,0,0,1998,Not Applicable,North-East,0,2300000,Prakasam | Kothapatnam
Telangana,Medchal Malkajgiri,Hyderabad,Apartment,2,2,952,Unfurnished,East,0,5650000,Medchal Malkajgiri | Bowrampet
Telangana,Kamareddy,Kamareddy,Independent House,5,5,2639,Unfurnished,East,1,10175000,Kamareddy | Kamareddy Town
Andhra Pradesh,Visakhapatnam,Visakhapatnam,Independent House,3,4,1874,Semi-Furnished,East,0,13400000,Visakhapatnam | Kommadi
